Date,Close,High,Low,Open,Volume,MA7,MA21,Daily_Return,Volatility,Price_Range,Momentum,RSI,Target
2020-01-29,662.0155029296875,668.5244541677285,654.9472866809749,659.4208095162297,24746565,675.7460327148438,682.5106433686756,0.5503707069179908,0.9328051865259241,13.577167486753638,-19.6834716796875,33.11032469363644,0
2020-01-30,645.8660888671875,661.9484232186644,644.1885326054595,661.6352849574768,22402689,669.9847760881696,681.1078781854538,-2.4394314016865537,1.135354443925076,17.759890613204902,-42.1181640625,28.126380516825293,0
2020-01-31,631.506103515625,650.1160022926447,629.5154088076667,650.0041373264569,34750310,662.2072230747768,678.4738246372768,-2.2233688374550087,1.1724466088139236,20.600593484977935,-75.75921630859375,25.145937528568624,0
2020-02-03,619.8077392578125,626.2720164126083,609.7646795449248,612.8290505582687,30712290,653.1738891601562,675.2432977585565,-1.8524546623836513,1.1452633837091144,16.507336867683534,-65.69378662109375,24.072101057906323,1
2020-02-04,638.1044311523438,640.8332667548419,625.310139999637,626.2942886767648,25383901,647.0930873325893,673.6434791201636,2.95199474540937,1.9985407897100587,15.523126755204885,-48.0904541015625,34.42546167382247,1
2020-02-05,647.9909057617188,649.9145288544571,639.849132797698,641.9068982608502,18472100,643.3832397460938,672.0223533993676,1.5493505650040929,2.200190865808743,10.065396056759141,-37.95806884765625,36.07044506906201,1
2020-02-06,652.1513671875,656.267018049872,644.2332634474068,650.496207815146,15538577,642.4917340959821,670.84326171875,0.6420555271359207,2.084037795790069,12.033754602465251,-30.88970947265625,28.54404901246555,0
2020-02-07,641.3477783203125,649.7132815022266,638.9544179355763,649.109342186217,12209212,639.5392020089286,668.4073166620163,-1.656607562409873,2.1325611051863804,10.758863566650234,-39.322265625,31.207159108208046,1
2020-02-10,642.2200927734375,646.6488813487252,630.9691553464403,638.8201869242226,15142476,639.0183454241071,666.0203683035714,0.1360127036550418,1.9423131804575517,15.679726002284951,-31.73974609375,31.31179509047587,1
2020-02-11,649.8922729492188,655.9091502920886,646.4476326193693,647.4989123607826,13999816,641.6449410574777,664.0829060872396,1.19463409228584,1.7268808821750523,9.46151767271931,-8.4996337890625,35.58655998376041,1
2020-02-12,657.7432250976562,659.778713137917,650.8987390375679,651.4132102672503,13533565,647.0642961774554,662.8239193870908,1.2080390051123047,1.4136079179520278,8.879974100349045,-4.27227783203125,40.27179270525278,1
2020-02-13,659.465576171875,661.076061195236,654.2986456938107,661.076061195236,13565659,650.1158883231027,661.7651861281622,0.26185766853972225,1.0755954673706434,6.777415501425253,13.5994873046875,41.80500568012409,1
2020-02-14,665.4824829101562,671.6782959370149,650.0487633667867,660.8523610746443,21227841,652.6146850585938,660.6936732700893,0.912391329538198,0.9935154953942974,21.629532570228207,33.97637939453125,46.70606309404723,0
2020-02-17,661.2998046875,673.7809604834371,659.5327802045254,666.1088634101769,13149130,653.9216047014509,658.5048392159598,-0.6285181548829621,1.0531053493457159,14.248180278911718,41.4920654296875,51.23955589019953,0
2020-02-18,656.4458618164062,660.248373884015,651.9723392868693,660.248373884015,11127161,656.0784737723214,657.1212361653646,-0.7340003485087232,0.8114410184211593,8.276034597145667,18.3414306640625,47.65046203915167,1
2020-02-19,672.7295532226562,673.9150349477495,659.8905275306022,661.7917537765035,14084409,660.4369681222098,656.4800298781622,2.480584059314883,1.1347274327920398,14.024507417147333,24.7386474609375,61.31945569623508,0
2020-02-20,664.7443237304688,674.6084467350322,663.7825121618259,669.687583672214,16892268,662.5586896623884,655.4702845982143,-1.1869895493567872,1.2969127958225104,10.825934573206268,12.59295654296875,64.80071925122209,0
2020-02-24,646.40283203125,660.7404777544862,643.9871345353313,657.4971707893623,21370214,660.9386335100446,653.7256062825521,-2.759179889839214,1.664300958971177,16.753343219154885,5.0550537109375,61.18108401606953,0
